s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG02780	CSA	0.0005960251933718913	0.00235384760671609	0.0006780892148318843	0.9948555519724122	0.0006091667772240385	0.0004227539953601172	0.0004845652400837895	CSA
HG02787	CSA	0.0005960251933719103	0.002353847606716123	0.0006780892148319306	0.9948555519724122	0.0006091667772240553	0.0004227539953601307	0.00048456524008380506	CSA
HG02799	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02851	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02855	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03022	CSA	0.000596025193371866	0.0023538476067160486	0.0006780892148318235	0.9948555519724124	0.0006091667772240163	0.0004227539953601	0.0004845652400837698	CSA
HG03025	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03040	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03046	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03052	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03063	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03073	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03123	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03136	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03160	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03196	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03238	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559938	0.00042275358306636857	0.00048456475419047346	CSA
HG03246	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03265	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG03372	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
